productId|name|price|prime|imageUrl|reviews|rating|category|subcategory
1|Fantastic Cotton Tuna|187.00|false|delicate-fashion-headphones.jpg|7881|1|education|
2|Gorgeous Soft Sausages|947.00|true|kitchen-knife-feature.jpg|8571|1|sports|
3|Handmade Soft Towels|363.00|true|casual-shoes.jpg|6568|3|outdoors|
4|Small Steel Salad|315.00|false|nikon-camera-lens-cap.jpg|7419|0|sports|
5|Practical Cotton Hat|785.00|true|lays.jpg|9857|1|beauty|
6|Tasty Frozen Bike|299.00|false|sim-card-chip-for-mobile-phone.jpg|7252|2|outdoors|
7|Awesome Soft Table|861.00|true|exquisite-diamond-ring.jpg|4635|3|pets|
8|Gorgeous Metal Hat|233.00|false|unique-lighting.jpg|4094|3|education|
9|Fantastic Granite Tuna|381.00|true|unique-sunglasses.jpg|3177|1|home|
10|Fantastic Frozen Sausages|445.00|false|cool-and-temperamental-sunglasses.jpg|5103|3|tools|
